human	alligator	turtle	ostrich_85X	tinamou_100X	duck_50X	turkey	chicken	nightjar_30X	swift_106X	hummingbird_110X	pigeon_64X	cuckoo_100X	mesite_29X	sandgrouse_25X	turaco_30X	bustard_27X	hoatzin_100X	plover_100X	crane_33X	grebe_30X	flamingo_33X	sunbittern_33X	tropicbird_39X	loon_33X	egret_74X	ibis_105X	pelican_34X	cormorant_24X	fulmar_33X	adelie_penquin_60X	emperor_penquin_60X	seriema_24X	owl_27X	vulture_25X	white_tailed_eagle_26X	bald_eagle	mousebird_27X	cuckoo_roller_32X	trogon_28X	hornbill_35X	bee_eater_37X	woodpecker_105X	falcon_105X	kea_32X	budgerigar	rifleman_29X	manakin_110X	crow_90X	zebrafinch	ground_finch_115X	family
4	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	SNORD81
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SNORD82
2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	3	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	SNORD83
1	2	3	2	1	4	2	1	2	1	1	2	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2	2	0	1	2	1	2	2	2	2	2	2	2	SNORD87
4	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	SNORD88
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	SNORD89
1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	SNORD90
2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	3	2	1	2	2	2	2	0	2	2	0	0	2	2	3	2	2	2	2	2	0	2	1	1	2	2	2	2	2	2	2	2	2	2	SNORD91
1	1	1	1	92	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	SNORD93
1	2	4	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	SNORD94
3	1	0	2	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	SNORD95
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	SNORD98
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	SNORD99
1	1	2	1	2	1	1	1	0	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	2	2	2	2	2	1	1	SNORD100
1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	SNORD101
1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	SNORD102
3	4	3	3	4	2	3	3	3	3	3	2	2	2	2	2	2	1	2	2	3	3	3	4	3	3	2	3	2	4	2	3	4	3	2	4	4	1	1	3	2	1	2	4	1	2	3	4	2	1	2	SNORD103
3	1	2	2	2	2	2	2	2	3	1	1	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	1	1	2	1	1	1	2	3	2	1	2	SNORD111
1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SNORD11B
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SNORD97
1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SNORD123
1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	SNORD125
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SNORD127
3	3	4	4	4	4	4	4	4	3	3	4	4	4	4	6	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	3	4	3	3	3	3	SNORD53_SNORD92
1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	SNORND104
1	3	2	2	2	2	2	2	2	1	2	3	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	snosnR60_Z15
1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	snoU105B
2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	snoU2-30
4	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	snoU2_19
1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	snoU54
1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	snoU82P
3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	snoU83B
1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	snoU85
8	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	snoU109
2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	snoZ17
1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	snoZ30
2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	snoZ40
